tid;hastighet;strekning
0;0;0
0.15;0;0
0.32;0;0
0.47;0.097333333;0.006333333
0.63;0.362166667;0.047666667
0.8;0.529333333;0.124
0.95;0.793;0.228833333
1.11;1.0545;0.375166667
1.28;1.101166667;0.546833333
1.43;1.291833333;0.731166667
1.59;1.363333333;0.944166667
1.76;1.533666667;1.1795
1.91;1.739833333;1.437
2.07;1.773333333;1.707166667
2.24;1.902333333;2.006
2.4;2.011833333;2.3175
2.55;2.154333333;2.641833333
2.72;2.2385;2.988333333
2.89;2.349;3.350666667
3.03;2.423166667;3.729
3.2;2.497833333;4.123166667
3.35;2.647333333;4.5205
3.51;2.621166667;4.933833333
3.68;2.7365;5.366166667
3.83;2.7855;5.814333333
3.99;2.953166667;6.272166667
4.16;2.898333333;6.733166667
4.31;2.976833333;7.21
4.48;3.038166667;7.686833333
4.64;3.145;8.185833333
4.79;3.085666667;8.678666667
4.95;3.121333333;9.187333333
5.12;3.229666667;9.699166667
5.27;3.191666667;10.21733333
5.44;3.375666667;10.73866667
5.6;3.341;11.26633333
5.76;3.375666667;11.79083333
5.91;3.264833333;12.309
6.08;3.293666667;12.83983333
6.23;3.18;13.36766667
6.39;3.3425;13.88266667
6.56;3.218333333;14.40716667
6.71;3.367166667;14.93483333
6.87;3.2865;15.44983333
7.04;3.304;15.9775
7.19;3.339833333;16.50533333
7.35;3.252;17.033
7.52;3.208833333;17.54483333
7.67;3.269166667;18.06933333
7.83;3.0995;18.56833333
8;3.196;19.07383333
8.15;3.085166667;19.56666667
8.31;2.965166667;20.05616667
8.48;3.010333333;20.53616667
8.63;2.8755;21.0035
8.8;2.936833333;21.46133333
8.96;2.789833333;21.91583333
9.11;2.6775;22.34183333
9.28;2.604333333;22.7615
9.44;2.474666667;23.17783333
9.61;2.4845;23.57516667
9.81;2.407666667;23.95666667
9.92;2.370666667;24.33183333
10.07;2.1915;24.68783333
10.23;2.109166667;25.01533333
10.4;1.894;25.33316667
10.55;1.877;25.632
10.71;1.702666667;25.915
10.88;1.634666667;26.17566667
11.03;1.451333333;26.4235
11.19;1.3805;26.64283333
11.36;1.218;26.84316667
11.51;1.101833333;27.018
11.67;0.907;27.177
11.84;0.714;27.30416667
11.99;0.666833333;27.41533333
12.15;0.4185;27.50433333
12.33;0.266666667;27.5585
12.48;0.018666667;27.58066667
12.63;0;27.587
12.8;0;27.587
