tid;hastighet;strekning
0.00;0.00;0.00
0.06;5.40;0.57
0.11;23.78;1.91
0.16;21.74;5.15
0.22;23.81;8.77
0.27;26.92;12.97
0.32;27.57;17.36
0.38;27.94;21.74
0.43;31.16;26.51
0.48;36.47;31.66
0.54;36.46;37.58
0.59;38.87;43.49
0.64;38.47;49.59
0.70;42.55;56.08
0.75;47.92;63.14
0.80;43.65;70.20
0.86;47.11;77.64
0.91;49.16;85.46
0.96;48.72;93.47
1.02;53.25;101.86
1.07;57.26;110.64
1.12;56.13;119.22
1.18;59.45;128.57
1.23;56.98;137.91
1.28;67.55;147.83
1.35;60.90;157.56
1.39;63.41;167.67
1.44;69.96;178.16
1.50;69.11;189.03
1.55;70.85;200.10
1.60;69.93;211.35
1.66;74.88;222.99
1.71;69.89;234.81
1.76;75.44;246.83
1.82;76.18;258.85
1.87;81.20;271.44
1.92;84.22;283.83
1.98;79.13;296.80
2.03;80.40;309.97
2.08;84.71;323.13
2.14;86.28;336.86
2.19;90.68;350.40
2.24;86.00;364.32
2.30;92.05;378.25
2.35;90.92;392.74
2.40;87.77;407.62
2.46;89.75;422.12
2.51;91.04;436.81
2.56;98.36;451.87
2.62;95.93;466.94
2.67;96.09;482.39
2.72;95.07;498.03
2.78;100.51;513.67
2.83;101.00;529.51
2.88;98.12;545.15
2.94;102.40;561.36
2.99;101.27;577.57
3.04;102.96;594.16
3.10;103.53;610.76
3.15;105.88;627.36
3.20;107.51;644.14
3.26;107.26;661.12
3.31;108.86;678.09
3.36;106.64;695.26
3.42;106.73;712.62
3.47;111.43;729.97
3.52;109.88;747.33
3.58;107.92;765.07
3.63;110.92;782.43
3.68;110.32;800.36
3.74;114.85;818.29
3.79;113.48;836.22
3.84;113.66;854.15
3.90;119.84;872.08
3.95;116.34;890.01
4.00;114.70;908.32
4.06;117.49;926.63
4.11;112.94;944.94
4.16;116.14;963.25
4.22;120.03;981.75
4.27;119.07;1000.06
4.32;117.61;1018.56
4.38;107.66;1036.87
4.43;112.25;1055.56
4.48;114.32;1074.45
4.54;117.57;1092.76
4.59;114.16;1111.45
4.64;116.46;1129.95
4.70;115.38;1148.64
4.75;116.38;1167.33
4.80;117.44;1185.84
4.86;116.13;1204.53
4.91;115.74;1223.03
4.96;117.48;1241.53
5.02;114.68;1260.22
5.07;114.36;1278.72
5.12;112.97;1297.42
5.18;114.36;1316.11
5.23;113.97;1334.61
5.28;112.76;1353.11
5.34;114.85;1371.42
5.39;115.95;1389.92
5.44;112.94;1408.43
5.50;115.56;1426.74
5.55;111.38;1444.86
5.60;114.36;1462.98
5.66;114.85;1481.29
5.71;115.03;1499.41
5.76;111.92;1517.34
5.82;113.98;1535.27
5.87;110.27;1553.20
5.92;111.29;1571.12
5.98;115.38;1588.67
6.03;107.93;1606.22
6.08;107.40;1623.77
6.14;108.67;1641.13
6.19;109.36;1658.48
6.24;106.53;1675.84
6.30;106.18;1692.62
6.35;108.98;1709.79
6.40;109.30;1726.57
6.46;105.44;1743.17
6.51;106.79;1759.76
6.56;101.82;1776.36
6.62;106.46;1792.76
6.67;102.52;1808.97
6.72;103.27;1824.99
6.78;100.21;1840.83
6.83;98.45;1856.47
6.88;100.18;1872.11
6.94;92.48;1887.56
6.99;92.33;1903.01
7.05;100.08;1918.26
7.10;92.94;1932.95
7.15;94.80;1947.83
7.20;87.59;1962.33
7.26;88.64;1976.82
7.31;92.02;1991.13
7.36;87.97;2005.24
7.42;83.77;2018.97
7.47;84.97;2032.71
7.52;82.82;2046.06
7.58;82.82;2059.41
7.63;82.67;2072.38
7.68;79.81;2085.16
7.74;74.96;2097.75
7.79;73.80;2110.15
7.84;77.80;2122.35
7.90;74.27;2134.18
7.95;73.07;2146.01
8.00;68.52;2157.45
8.06;71.00;2168.70
8.11;67.15;2179.58
8.16;69.69;2190.45
8.22;66.08;2200.75
8.27;65.50;2211.05
8.32;58.04;2220.97
8.38;63.60;2230.50
8.43;53.47;2240.04
8.48;54.10;2248.81
8.54;56.32;2257.97
8.59;48.64;2266.17
8.64;51.77;2274.56
8.70;49.06;2282.76
8.75;46.84;2290.01
8.80;46.36;2297.64
8.86;42.31;2304.89
8.91;42.11;2311.38
8.96;41.94;2317.86
9.01;37.82;2324.35
9.07;33.43;2329.88
9.12;34.43;2335.41
9.18;34.51;2340.75
9.23;30.87;2345.90
9.28;24.63;2350.10
9.34;24.15;2353.91
9.39;23.38;2357.73
9.44;22.56;2361.35
9.50;19.36;2364.78
9.55;14.27;2367.45
9.60;12.44;2369.74
9.66;9.30;2371.46
9.71;9.38;2372.99
9.76;8.79;2373.94
9.82;15.82;2374.89
9.87;4.52;2375.27
9.92;0.00;2375.47
9.98;0.00;2375.47
