t	s	v	a
0,2000	1,4249	-0,0375	-1,1451
0,2500	1,4204	-0,1082	-1,7476
0,3000	1,4170	-0,2143	-2,2428
0,3500	1,4002	-0,3445	-2,4080
0,4000	1,3808	-0,4740	-2,2642
0,4500	1,3532	-0,5708	-2,0625
0,5000	1,3217	-0,6672	-2,0442
0,5500	1,2880	-0,7700	-2,1777
0,6000	1,2458	-0,8881	-2,2167
0,6500	1,1981	-1,0033	-2,1067
0,7000	1,1452	-1,0990	-1,9444
0,7500	1,0876	-1,1912	-1,7678
0,8000	1,0265	-1,2835	-1,5075
0,8500	0,9594	-1,3491	-1,1431
0,9000	0,8884	-1,3933	-0,8045
0,9500	0,8210	-1,4243	-0,5697
1,0000	0,7469	-1,4497	-0,3049
1,0500	0,6736	-1,4637	-0,3406
