"Tid (s)"; "Posisjon (m)"
0,250;0,0015
0,300;0,0032
0,350;0,0108
0,400;0,0278
0,450;0,0541
0,500;0,0843
0,550;0,1140
0,600;0,1431
0,650;0,1717
0,700;0,1996
0,750;0,2270
0,800;0,2538
0,850;0,2800
0,900;0,3057
0,950;0,3309
1,000;0,3555
1,050;0,3796
1,100;0,4031
1,150;0,4261
1,200;0,4484
1,250;0,4701
1,300;0,4914
1,350;0,5120
1,400;0,5320
1,450;0,5513
1,500;0,5701
1,550;0,5882
1,600;0,6059
1,650;0,6229
1,700;0,6394
1,750;0,6551
1,800;0,6703
1,850;0,6849
1,900;0,6988
1,950;0,7123
2,000;0,7250
2,050;0,7373
2,100;0,7487
2,150;0,7596
2,200;0,7699
2,250;0,7796
2,300;0,7887
2,350;0,7972
2,400;0,8052
2,450;0,8125
2,500;0,8192
2,550;0,8253
2,600;0,8308
2,650;0,8355
2,700;0,8396
2,750;0,8431
2,800;0,8460
2,850;0,8484
2,900;0,8500
2,950;0,8511
3,000;0,8515
3,050;0,8513
3,100;0,8507
3,150;0,8494
3,200;0,8477
3,250;0,8456
3,300;0,8429
3,350;0,8397
3,400;0,8361
3,450;0,8319
3,500;0,8273
3,550;0,8222
3,600;0,8165
3,650;0,8104
3,700;0,8038
3,750;0,7969
3,800;0,7894
3,850;0,7817
3,900;0,7735
3,950;0,7649
4,000;0,7559
4,050;0,7465
4,100;0,7367
4,150;0,7264
4,200;0,7158
4,250;0,7050
4,300;0,6939
4,350;0,6825
4,400;0,6707
4,450;0,6585
4,500;0,6458
4,550;0,6329
4,600;0,6194
4,650;0,6057
4,700;0,5916
4,750;0,5773
4,800;0,5627
4,850;0,5475
4,900;0,5319
4,950;0,5160
5,000;0,4997
5,050;0,4832
5,100;0,4664
5,150;0,4490
5,200;0,4313
5,250;0,4133
5,300;0,3948
5,350;0,3762
5,400;0,3571
5,450;0,3377
5,500;0,3179
5,550;0,2979
5,600;0,2777
5,650;0,2572
5,700;0,2363
5,750;0,2151
5,800;0,1937
5,850;0,1719
5,900;0,1498
5,950;0,1273
6,000;0,1045
6,050;0,0815
6,100;0,0581
6,150;0,0343
6,200;0,0135
