tid;strekning
0;0
0.05;0.0571
0.1;0.1134
0.15;0.1677
0.2;0.2199
0.25;0.2699
0.3;0.318
0.35;0.3639
0.4;0.4078
0.45;0.4495
0.5;0.4892
0.55;0.5268
0.6;0.5622
0.65;0.5955
0.7;0.6268
0.75;0.6558
0.8;0.6828
0.85;0.7077
0.9;0.7305
0.95;0.7511
1;0.7697
1.05;0.786
1.1;0.8005
1.15;0.8126
1.2;0.8225
1.25;0.8304
1.3;0.836
1.35;0.8395
1.4;0.8408
1.45;0.84
1.5;0.8374
1.55;0.8331
1.6;0.8269
1.65;0.8189
1.7;0.8091
1.75;0.7974
1.8;0.784
1.85;0.7687
1.9;0.7516
1.95;0.7329
2;0.7123
2.05;0.69
2.1;0.6659
2.15;0.64
2.2;0.6124
2.25;0.583
2.3;0.552
2.35;0.5191
2.4;0.4846
2.45;0.4483
2.5;0.4102
2.55;0.3705
2.6;0.3292
2.65;0.2861
2.7;0.2413
2.75;0.1961
2.8;0.1587
2.85;0.1258
2.9;0.0861
2.95;0.0509
3;0.016
