tid;strekning
0;0
0.05;0.0582
0.1;0.1142
0.15;0.1679
0.2;0.2193
0.25;0.2686
0.3;0.3155
0.35;0.3599
0.4;0.4022
0.45;0.4421
0.5;0.4797
0.55;0.515
0.6;0.548
0.65;0.5785
0.7;0.6068
0.75;0.6327
0.8;0.6562
0.85;0.6776
0.9;0.6966
0.95;0.7131
1;0.7274
1.05;0.7393
1.1;0.7489
1.15;0.7563
1.2;0.7613
1.25;0.764
1.3;0.7647
1.35;0.7632
1.4;0.7598
1.45;0.7543
1.5;0.7469
1.55;0.7377
1.6;0.7265
1.65;0.7132
1.7;0.6982
1.75;0.6811
1.8;0.6621
1.85;0.6411
1.9;0.6183
1.95;0.5936
2;0.567
2.05;0.5386
2.1;0.5084
2.15;0.4765
2.2;0.4428
2.25;0.4074
2.3;0.3704
2.35;0.3315
2.4;0.291
2.45;0.2488
2.5;0.205
2.55;0.1596
2.6;0.1123
2.65;0.0634
2.7;0.0127
