lengde;tid
0.10;0.63
0.11;0.63
0.12;0.68
0.13;0.69
0.14;0.78
0.15;0.81
0.16;0.78
0.17;0.79
0.18;0.80
0.19;0.82
0.20;0.84
0.21;0.92
0.22;0.96
0.23;1.00
0.24;0.93
0.25;0.95
0.26;1.01
0.27;1.03
0.28;1.08
0.29;1.04
0.30;1.13
0.31;1.08
0.32;1.16
0.33;1.18
0.34;1.15
0.35;1.21
0.36;1.24
0.37;1.25
0.38;1.21
0.39;1.20
0.40;1.24
0.41;1.25
0.42;1.29
0.43;1.29
0.44;1.34
0.45;1.33
0.46;1.32
0.47;1.39
0.48;1.36
0.49;1.41
0.50;1.41
0.51;1.38
0.52;1.46
0.53;1.44
0.54;1.42
0.55;1.47
0.56;1.47
0.57;1.48
0.58;1.55
0.59;1.58
0.60;1.52
0.61;1.60
0.62;1.54
0.63;1.60
0.64;1.57
0.65;1.65
0.66;1.61
0.67;1.60
0.68;1.64
0.69;1.65
0.70;1.71
0.71;1.70
0.72;1.67
0.73;1.75
0.74;1.73
0.75;1.68
0.76;1.78
0.77;1.76
0.78;1.73
0.79;1.74
0.80;1.77
0.81;1.80
0.82;1.80
0.83;1.78
0.84;1.80
0.85;1.83
0.86;1.90
0.87;1.84
0.88;1.86
0.89;1.88
0.90;1.88
0.91;1.91
0.92;1.88
0.93;1.90
0.94;1.94
0.95;1.92
0.96;1.95
0.97;1.99
0.98;1.99
0.99;1.96
